"","market","airlineaa","airlinedl","airlineua","airlineal","airlinelcc","airlinewn","airport1","state1","city1","population1","route1","tourism1","airport2","state2","city2","population2","route2","tourism2","distance","distancesq","passengers","airpresence","population","route","firm_nb"
"35","ABQDAY",1,0,0,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"DAY","US-OH","Dayton",166179,45,0,1272,1617984,821,1044312,307393,56,1
"36","ABQDCA",1,1,0,1,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"DCA","US-DC","Washington",572059,87,0,1650,2722500,7891,13020150,510333,77,3
"37","ABQDEN",0,0,1,0,1,0,"ABQ","US-NM","Albuquerque",448607,67,0,"DEN","US-CO","Denver",554636,95,0,349,121801,10251,3577599,501621.5,81,2
"38","ABQDFW",1,1,0,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"DFW","US-TX","Dallas-Fort Worth",534694,98,0,569,323761,9465,5385585,491650.5,82.5,2
"39","ABQDSM",0,0,1,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"DSM","US-IA","Des Moines",198682,35,0,938,879844,677,635026,323644.5,51,1
"40","ABQELP",0,0,0,0,1,1,"ABQ","US-NM","Albuquerque",448607,67,0,"ELP","US-TX","El Paso",563662,51,0,223,49729,8208,1830384,506134.5,59,2
"41","ABQFLL",1,1,0,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"FLL","US-FL","Fort Lauderdale",152397,84,1,1687,2845969,4446,7500402,300502,75.5,4
"42","ABQGEG",0,0,1,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"GEG","US-WA","Spokane",195629,43,0,1035,1071225,1551,1605285,322118,55,3
"43","ABQHOU",0,0,0,0,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"HOU","US-TX","Houston",1953631,70,0,759,576081,8204,6226836,1201119,68.5,1
"44","ABQIAD",1,1,1,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"IAD","US-DC","Washington",572059,66,0,1628,2650384,4613,7509964,510333,66.5,3
"45","ABQIND",1,0,1,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"IND","US-IN","Indianapolis",781870,76,0,1161,1347921,3230,3750030,615238.5,71.5,4
"46","ABQISP",0,0,0,0,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"ISP","US-NY","Islip",17932,30,0,1861,3463321,1652,3074372,233269.5,48.5,1
"47","ABQJAN",0,1,0,0,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"JAN","US-MS","Jackson",184256,43,0,977,954529,791,772807,316431.5,55,2
"48","ABQJAX",1,1,0,1,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"JAX","US-FL","Jacksonville",735617,73,1,1480,2190400,1347,1993560,592112,70,3
"49","ABQJFK",1,0,0,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"JFK","US-NY","New York",8008278,51,0,1825,3330625,1132,2065900,4228442.5,59,1
"50","ABQLAX",0,0,1,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"LAX","US-CA","Los Angeles",3694820,95,1,677,458329,29736,20131272,2071713.5,81,3
"51","ABQLGA",1,1,1,1,1,0,"ABQ","US-NM","Albuquerque",448607,67,0,"LGA","US-NY","New York",8008278,87,0,1821,3316041,6798,12379158,4228442.5,77,5
"52","ABQLIT",1,1,0,0,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"LIT","US-AR","Little Rock",183133,53,0,817,667489,1519,1241023,315870,60,3
"53","ABQMCI",1,0,1,0,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"MCI","US-MO","Kansas City",441545,86,0,718,515524,7202,5171036,445076,76.5,3
"54","ABQMCO",1,1,1,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"MCO","US-FL","Orlando",185951,92,1,1552,2408704,9636,14955072,317279,79.5,5
"55","ABQMDT",0,0,0,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"MDT","US-PA","Harrisburg",48880,31,0,1669,2785561,565,942985,248743.5,49,0
"56","ABQMDW",0,0,0,0,1,1,"ABQ","US-NM","Albuquerque",448607,67,0,"MDW","US-IL","Chicago",2896016,60,0,1121,1256641,5034,5643114,1672311.5,63.5,2
"57","ABQMEM",0,0,0,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"MEM","US-TN","Memphis",650100,70,0,1001,1002001,859,859859,549353.5,68.5,0
"58","ABQMIA",1,0,0,1,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"MIA","US-FL","Miami",362470,89,1,1690,2856100,1448,2447120,405538.5,78,2
"59","ABQMKE",1,0,0,1,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"MKE","US-WI","Milwaukee",596974,64,0,1185,1404225,1529,1811865,522790.5,65.5,2
"60","ABQMSY",1,1,0,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"MSY","US-LA","New Orleans",484674,87,0,1015,1030225,4335,4400025,466640.5,77,4
"61","ABQOAK",0,0,1,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"OAK","US-CA","Oakland",399484,57,1,889,790321,16590,14748510,424045.5,62,3
"62","ABQOKC",0,0,0,0,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"OKC","US-OK","Oklahoma City",506132,61,0,510,260100,2082,1061820,477369.5,64,1
"63","ABQOMA",1,0,1,0,1,0,"ABQ","US-NM","Albuquerque",448607,67,0,"OMA","US-NE","Omaha",390007,56,0,725,525625,1520,1102000,419307,61.5,3
"64","ABQORD",1,1,1,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"ORD","US-IL","Chicago",2896016,97,0,1118,1249924,9843,11004474,1672311.5,82,3
"65","ABQORF",1,1,0,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"ORF","US-VA","Norfolk",234403,66,0,1702,2896804,1228,2090056,341505,66.5,2
"66","ABQPBI",0,1,0,1,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"PBI","US-FL","West Palm Beach",82103,68,1,1671,2792241,985,1645935,265355,67.5,2
"67","ABQPDX",0,0,1,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"PDX","US-OR","Portland",529121,68,0,1111,1234321,9047,10051217,488864,67.5,3
"68","ABQPVD",1,1,0,1,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"PVD","US-RI","Providence",173618,59,0,1950,3802500,2903,5660850,311112.5,63,3
"69","ABQRDU",1,1,0,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"RDU","US-NC","Raleigh/Durham",463128,77,0,1565,2449225,3619,5663735,455867.5,72,4
"70","ABQRIC",1,1,0,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"RIC","US-VA","Richmond",197790,50,0,1637,2679769,775,1268675,323198.5,58.5,2
"71","ABQSAN",0,0,0,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"SAN","US-CA","San Diego",1223400,85,1,628,394384,13947,8758716,836003.5,76,2
"72","ABQSAT",1,1,0,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"SAT","US-TX","San Antonio",1144646,80,0,609,370881,6559,3994431,796626.5,73.5,4
"73","ABQSDF",1,1,0,0,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"SDF","US-KY","Louisville",256231,62,0,1188,1411344,1680,1995840,352419,64.5,3
"74","ABQSEA",0,1,1,1,1,1,"ABQ","US-NM","Albuquerque",448607,67,0,"SEA","US-WA","Seattle",563374,86,0,1180,1392400,11266,13293880,505990.5,76.5,5
"75","ABQSFO",0,0,1,1,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"SFO","US-CA","San Francisco",776733,88,1,896,802816,3859,3457664,612670,77.5,2
"76","ABQSJC",0,0,1,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"SJC","US-CA","San Jose",894943,59,1,870,756900,6779,5897730,671775,63,3
"77","ABQSLC",0,1,0,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"SLC","US-UT","Salt Lake City",181743,74,0,493,243049,5330,2627690,315175,70.5,3
"78","ABQSMF",0,0,1,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"SMF","US-CA","Sacramento",407018,61,1,866,749956,5475,4741350,427812.5,64,3
"79","ABQSNA",0,0,0,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"SNA","US-CA","Santa Ana",337977,60,1,666,443556,2650,1764900,393292,63.5,2
"80","ABQSTL",1,0,0,0,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"STL","US-MO","St Louis",348189,90,0,934,872356,6216,5805744,398398,78.5,2
"81","ABQSYR",1,0,0,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"SYR","US-NY","Syracuse",147306,41,0,1725,2975625,677,1167825,297956.5,54,1
