v1,market,airlineaa,airlineal,airlinedl,airlinelcc,airlineua,airlinewn,city_pairaa,operate1aa,operate2aa,passengeraa,distaa,airpresenceaa,routeaa,lairpresenceaa,city_pairal,operate1al,operate2al,passengeral,distal,airpresenceal,routeal,lairpresenceal,city_pairdl,operate1dl,operate2dl,passengerdl,distdl,airpresencedl,routedl,lairpresencedl,city_pairlcc,operate1lcc,operate2lcc,passengerlcc,distlcc,airpresencelcc,routelcc,lairpresencelcc,city_pairua,operate1ua,operate2ua,passengerua,distua,airpresenceua,routeua,lairpresenceua,city_pairwn,operate1wn,operate2wn,passengerwn,distwn,airpresencewn,routewn,lairpresencewn,airport1,state1,city1,population1,route1,tourism1,airport2,state2,city2,population2,route2,tourism2,population,firm_nb,tourism,lpopulation,distancesq,distance,ldistance,ldistancesq
22,ABQBDL,1,1,1,0,0,0,0,1,1,587,2001.6526,1174970.1,93,13.976754,0,1,1,0,0,0,0,0,0,1,1,817,1962.3987,1603279.8,115,14.287562,1,1,1,0,0,0,0,0,1,1,1,146,2027.5797,296026.63,104,12.598208,1,1,1,283,1975.566,559085.19,55.5,13.234059,ABQ,US-NM,Albuquerque,448607,67,0,BDL,US-CT,Hartford,121578,66,0,285092.5,3,0,12.560569,3556996,1886,7.5422134,15.084427
23,ABQBHM,0,1,0,0,0,1,1,1,1,139,1166,162074,80.5,11.995814,0,1,1,0,0,0,0,0,1,1,1,306,1352.0952,413741.13,123.5,12.932998,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,1465.5637,512947.31,57,13.14793,ABQ,US-NM,Albuquerque,448607,67,0,BHM,US-AL,Birmingham,242820,60,0,345713.5,2,0,12.753366,1359556,1166,7.0613341,14.122668
24,ABQBNA,1,1,1,0,0,1,0,1,1,353,1253.0072,442311.53,97.5,12.999772,0,1,1,0,0,0,0,0,0,1,1,372,1303.1519,484772.5,128,13.091437,0,1,0,0,0,0,0,0,1,1,1,24,1362,32688,98.5,10.394794,0,1,1,750,1480.7889,1110591.8,56.5,13.920404,ABQ,US-NM,Albuquerque,448607,67,0,BNA,US-TN,Nashville,545524,86,0,497065.5,4,0,13.116477,1261129,1123,7.0237589,14.047518
25,ABQBOI,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,34,784,26656,115,10.190807,1,1,1,0,0,0,0,0,0,1,1,187,1008.9091,188666,106,12.147738,0,1,1,332,1037.0903,344314,56.5,12.749312,ABQ,US-NM,Albuquerque,448607,67,0,BOI,US-ID,Boise,185787,38,0,317197,3,0,12.667278,609961,781,6.6605749,13.32115
26,ABQBOS,1,1,1,0,1,0,0,1,1,1114,2094.6455,2333435,105.5,14.662852,0,1,1,0,0,0,0,0,0,1,1,1204,2092.3635,2519205.8,127,14.739454,1,1,1,116,2103,243948,39.5,12.404715,0,1,1,799,2106.2949,1682929.6,116.5,14.336047,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,BOS,US-MA,Boston,589141,90,0,518874,4,0,13.159416,3896676,1974,7.5878172,15.175634
27,ABQBTR,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,173,959.15942,165934.58,112,12.019355,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,BTR,US-LA,Baton Rouge,227818,33,0,338212.5,1,0,12.73143,906304,952,6.8585649,13.71713
28,ABQBUF,0,0,0,0,0,0,1,1,1,198,1664.686,329607.84,83.5,12.705662,1,1,1,0,0,0,0,0,1,1,1,117,1904.2745,222800.13,108,12.314034,1,1,1,0,0,0,0,0,1,1,1,31,1710,53010,98.5,10.878255,1,1,1,61,2215.0435,135117.66,56.5,11.813909,ABQ,US-NM,Albuquerque,448607,67,0,BUF,US-NY,Buffalo,292648,54,0,370627.5,0,0,12.822953,2531281,1591,7.372118,14.744236
29,ABQBUR,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,77,1199.7188,92378.344,94.5,11.433659,0,1,1,2033,693.375,1409631.4,56,14.158839,ABQ,US-NM,Albuquerque,448607,67,0,BUR,US-CA,Burbank,100316,39,1,274461.5,2,1,12.522566,451584,672,6.5102582,13.020516
30,ABQBWI,1,1,1,1,1,1,0,1,1,634,1778.8334,1127780.4,94,13.935762,0,1,1,0,0,0,0,0,0,1,1,1370,1745.7549,2391684.3,118,14.687509,0,1,1,248,1840,456320,23,13.030951,0,1,1,520,1851.9678,963023.25,110,13.777834,0,1,1,3697,1777.4341,6571174,57.5,15.698203,ABQ,US-NM,Albuquerque,448607,67,0,BWI,US-MD,Baltimore,651154,85,0,549880.5,6,0,13.217456,2788900,1670,7.420579,14.841158
31,ABQCMH,1,1,1,0,0,0,0,1,1,154,1496,230384,93.5,12.347507,0,1,1,0,0,0,0,0,0,1,1,323,1499.0483,484192.63,118.5,13.09024,1,1,1,0,0,0,0,0,1,1,1,120,1506.84,180820.8,109,12.105268,1,1,1,168,1440.8334,242060,56,12.396945,ABQ,US-NM,Albuquerque,448607,67,0,CMH,US-OH,Columbus,711470,73,0,580038.5,3,0,13.27085,1803649,1343,7.202661,14.405322
32,ABQCOS,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,255,421,107355,108,11.583905,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,COS,US-CO,Colorado Springs,360890,49,0,404748.5,1,0,12.911021,177241,421,6.0426331,12.085266
33,ABQCVG,0,0,1,0,0,0,1,1,1,81,1388.9375,112503.94,86.5,11.630753,1,1,1,0,0,0,0,0,0,1,1,1289,1299.8645,1675525.4,132.5,14.331638,0,1,0,0,0,0,0,0,1,1,1,13,1732.2858,22519.715,103.5,10.022191,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,CVG,US-KY,Cincinnati,331285,70,0,389946,1,0,12.873763,1537600,1240,7.1228666,14.245733
34,ABQDAL,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,20023,617.02045,12354600,58,16.329538,ABQ,US-NM,Albuquerque,448607,67,0,DAL,US-TX,Dallas,1188580,93,0,818593.5,1,0,13.615343,336400,580,6.363028,12.726056
35,ABQDAY,1,0,0,0,0,0,0,1,1,16,1438.3846,23014.154,82,10.043908,1,1,1,0,0,0,0,0,1,1,1,26,1710.1818,44464.727,114.5,10.702474,1,1,1,0,0,0,0,0,1,1,1,14,1477,20678,107.5,9.9368744,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,DAY,US-OH,Dayton,166179,45,0,307393,1,0,12.635882,1617984,1272,7.1483459,14.296692
36,ABQDCA,1,1,1,0,0,0,0,1,1,1151,1722.5522,1982657.6,104.5,14.499949,0,1,1,0,0,0,0,0,0,1,1,2190,1738.7921,3807954.8,122,15.152603,1,1,1,93,1825,169725,27.5,12.041941,1,1,1,33,1842.7059,60809.297,102.5,11.015514,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,DCA,US-DC,Washington,572059,87,0,510333,3,0,13.142818,2722500,1650,7.4085307,14.817061
37,ABQDEN,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,5,349,1745,129,7.4650826,0,1,1,2599,350.96524,912158.69,37,13.723571,0,1,1,5296,349,1848304,135.5,14.42978,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,DEN,US-CO,Denver,554636,95,0,501621.5,2,0,13.125601,121801,349,5.855072,11.710144
38,ABQDFW,1,0,1,0,0,0,0,1,1,4987,571.36383,2849391.5,119.5,14.862617,1,1,1,0,0,0,0,0,0,1,1,1894,578.94373,1096519.4,136.5,13.907653,1,1,1,31,990,30690,39,10.331725,1,1,1,72,990,71280,117.5,11.174385,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,DFW,US-TX,Dallas-Fort Worth,534694,98,0,491650.5,2,0,13.105523,323761,569,6.3438807,12.687761
39,ABQDSM,0,0,0,0,1,0,1,1,1,40,1199.1666,47966.664,89,10.778282,1,1,1,0,0,0,0,0,1,1,1,1,1448,1448,90,7.2786288,1,1,1,0,0,0,0,0,0,1,1,279,940.57275,262419.81,105.5,12.477705,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,DSM,US-IA,Des Moines,198682,35,0,323644.5,1,0,12.687401,879844,938,6.84375,13.6875
40,ABQELP,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,12,223,2676,114.5,7.8924522,0,1,1,797,223,177731,19.5,12.088032,0,1,0,0,0,0,0,0,0,1,1,5830,223,1300090,58,14.077945,ABQ,US-NM,Albuquerque,448607,67,0,ELP,US-TX,El Paso,563662,51,0,506134.5,2,0,13.134558,49729,223,5.4071717,10.814343
41,ABQFLL,1,1,1,0,0,1,0,1,1,298,1768.1909,526920.88,99.5,13.174808,0,1,1,0,0,0,0,0,0,1,1,742,1766.8582,1311008.8,125,14.086308,1,1,1,0,0,0,0,0,1,1,1,1,2419,2419,92,7.791523,0,1,1,941,1827.312,1719500.6,57,14.357545,ABQ,US-NM,Albuquerque,448607,67,0,FLL,US-FL,Fort Lauderdale,152397,84,1,300502,4,1,12.61321,2845969,1687,7.430707,14.861414
42,ABQGEG,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,46,1095,50370,114,10.827171,1,1,1,0,0,0,0,0,0,1,1,252,1185,298620,103.5,12.606931,0,1,1,395,1416.7384,559611.69,56,13.235001,ABQ,US-NM,Albuquerque,448607,67,0,GEG,US-WA,Spokane,195629,43,0,322118,3,0,12.682673,1071225,1035,6.9421568,13.884314
43,ABQHOU,0,0,0,0,0,1,1,1,1,1,816,816,78,6.7056389,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5889,793.87146,4675109,57.5,15.357763,ABQ,US-NM,Albuquerque,448607,67,0,HOU,US-TX,Houston,1953631,70,0,1201119,1,0,13.998764,576081,759,6.6320019,13.264004
44,ABQIAD,1,0,1,0,1,0,0,1,1,400,1741,696400,89.5,13.453681,1,1,1,0,0,0,0,0,0,1,1,321,1813.6736,582189.25,116,13.274552,1,1,1,0,0,0,0,0,0,1,1,1882,1815.1963,3416199.5,119,15.04404,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,IAD,US-DC,Washington,572059,66,0,510333,3,0,13.142818,2650384,1628,7.3951077,14.790215
45,ABQIND,1,1,0,0,1,1,0,1,1,197,1331,262207,91.5,12.476893,0,1,1,0,0,0,0,0,1,1,1,120,1593.75,191250,123.5,12.161342,1,1,1,0,0,0,0,0,0,1,1,220,1322.3334,290913.34,112,12.580784,0,1,1,468,1214.0818,568190.25,57.5,13.250214,ABQ,US-NM,Albuquerque,448607,67,0,IND,US-IN,Indianapolis,781870,76,0,615238.5,4,0,13.329765,1347921,1161,7.0570369,14.114074
46,ABQISP,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,882,1884.0947,1661771.5,56,14.323396,ABQ,US-NM,Albuquerque,448607,67,0,ISP,US-NY,Islip,17932,30,0,233269.5,1,0,12.35995,3463321,1861,7.5288692,15.057738
47,ABQJAN,0,0,1,0,0,1,1,1,1,1,977,977,64,6.8855095,1,1,1,0,0,0,0,0,0,1,1,293,999.08142,292730.84,118.5,12.587012,0,1,0,0,0,0,0,0,1,1,1,1,1315,1315,58.5,7.1823521,0,1,1,176,1119.6487,197058.17,54,12.191259,ABQ,US-NM,Albuquerque,448607,67,0,JAN,US-MS,Jackson,184256,43,0,316431.5,2,0,12.664862,954529,977,6.8844867,13.768973
48,ABQJAX,1,1,1,0,0,0,0,1,1,111,1488,165168,81.5,12.014725,0,1,1,0,0,0,0,0,0,1,1,428,1512.47,647337.13,125,13.380624,1,1,1,0,0,0,0,0,1,1,1,5,2102,10510,92,9.2601776,1,1,1,35,1766.4117,61824.41,57,11.03207,ABQ,US-NM,Albuquerque,448607,67,0,JAX,US-FL,Jacksonville,735617,73,1,592112,3,1,13.291451,2190400,1480,7.2997975,14.599595
49,ABQJFK,1,0,0,0,0,0,0,1,1,40,2039.5714,81582.859,95.5,11.309386,1,1,1,0,0,0,0,0,1,1,1,114,1993.1,227213.39,112.5,12.33365,1,1,1,0,0,0,0,0,1,1,1,4,3313,13252,96,9.4919796,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,JFK,US-NY,New York,8008278,51,0,4228442.5,1,0,15.257344,3330625,1825,7.509335,15.01867
50,ABQLAX,0,1,0,0,1,1,1,1,1,14,1831,25634,108,10.151714,0,1,1,0,0,0,0,0,1,1,1,130,1109.6418,144253.44,127.5,11.879333,1,1,1,20,1211,24220,33,10.094975,0,1,1,687,1214.2063,834159.75,127.5,13.634181,0,1,1,20012,692.58447,13860000,57.5,16.444517,ABQ,US-NM,Albuquerque,448607,67,0,LAX,US-CA,Los Angeles,3694820,95,1,2071713.5,3,1,14.543886,458329,677,6.5176711,13.035342
51,ABQLGA,1,1,1,1,1,0,0,1,1,1715,1946.2819,3337873.5,101.5,15.020844,0,1,1,0,0,0,0,0,0,1,1,1001,1923.1445,1925067.6,121.5,14.470472,0,1,1,206,1968,405408,52,12.912652,0,1,1,591,1968.1047,1163149.9,113,13.966643,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,LGA,US-NY,New York,8008278,87,0,4228442.5,5,0,15.257344,3316041,1821,7.5071411,15.014282
52,ABQLIT,1,0,1,0,0,1,0,1,1,75,873,65475,95,11.089439,1,1,1,0,0,0,0,0,0,1,1,260,873,226980,117,12.332622,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,648,877.43707,568579.25,57.5,13.250897,ABQ,US-NM,Albuquerque,448607,67,0,LIT,US-AR,Little Rock,183133,53,0,315870,3,0,12.663086,667489,817,6.7056389,13.411278
53,ABQMCI,1,0,0,0,1,1,0,1,1,238,1043.6827,248396.48,105,12.422786,1,1,1,0,0,0,0,0,1,1,1,13,1924.6,25019.799,120,10.127462,1,1,1,76,882,67032,26,11.112941,0,1,1,316,879.37598,277882.81,109.5,12.534959,0,1,1,4078,748.1853,3051099.8,57.5,14.931013,ABQ,US-NM,Albuquerque,448607,67,0,MCI,US-MO,Kansas City,441545,86,0,445076,3,0,13.006001,515524,718,6.5764694,13.152939
54,ABQMCO,1,1,1,0,1,1,0,1,1,238,1564.068,372248.19,104.5,12.827319,0,1,1,0,0,0,0,0,0,1,1,1170,1619.8699,1895247.8,134,14.454861,1,1,1,92,1894,174248,39.5,12.06824,0,1,1,176,1906.7715,335591.78,114,12.723654,0,1,1,4109,1595.3562,6555318.5,56.5,15.695787,ABQ,US-NM,Albuquerque,448607,67,0,MCO,US-FL,Orlando,185951,92,1,317279,5,1,12.667537,2408704,1552,7.3472996,14.694599
55,ABQMDT,0,0,0,0,0,0,1,1,1,102,1719.4412,175383,80.5,12.074733,1,1,1,0,0,0,0,0,1,1,1,136,1890.4615,257102.77,109,12.457235,0,1,0,0,0,0,0,0,1,1,1,28,1821.0834,50990.336,99,10.839411,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,MDT,US-PA,Harrisburg,48880,31,0,248743.5,0,0,12.424177,2785561,1669,7.41998,14.83996
56,ABQMDW,0,0,0,1,0,1,1,1,1,57,1366,77862,79,11.262706,1,1,1,0,0,0,0,0,0,1,0,1,1489,1489,91,7.3065314,0,1,1,190,1241.1549,235819.44,37.5,12.370826,0,1,0,0,0,0,0,0,0,1,1,3184,1143.8126,3641899.5,58,15.108016,ABQ,US-NM,Albuquerque,448607,67,0,MDW,US-IL,Chicago,2896016,60,0,1672311.5,2,0,14.329718,1256641,1121,7.0219765,14.043953
57,ABQMEM,0,0,0,0,0,0,1,1,1,125,1001,125125,90,11.737077,1,1,1,0,0,0,0,0,1,1,1,157,1081.1184,169735.59,123.5,12.042003,1,1,1,0,0,0,0,0,1,1,1,2,1221,2442,97,7.800982,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,MEM,US-TN,Memphis,650100,70,0,549353.5,0,0,13.216497,1002001,1001,6.9087548,13.81751
58,ABQMIA,1,1,0,0,0,0,0,1,1,384,1774.3041,681332.75,108.5,13.431808,0,1,1,0,0,0,0,0,1,1,1,98,1883.8975,184621.95,123.5,12.126071,1,1,1,0,0,0,0,0,1,1,1,40,2058,82320,105.5,11.318381,0,1,0,0,0,0,0,0,ABQ,US-NM,Albuquerque,448607,67,0,MIA,US-FL,Miami,362470,89,1,405538.5,2,1,12.912971,2856100,1690,7.4324837,14.864967
